experiment_id,well,sample_index,timestamp_s,relative_time_s,z_position_mm,indentation_distance_mm,raw_force_n,corrected_force_n,direction,source_well,formulation,volume_ul,flow_rate_ul_min,opentrons_source_well,opentrons_volume_dispensed_ul,opentrons_run_id,opentrons_robot_run_id,opentrons_status,sharc_run_id,sharc_success,sharc_exposure_time_s,sharc_intensity,sharc_result_path,sharc_run_dir,asmi_run_id,asmi_success,asmi_baseline_avg_n,asmi_baseline_std_n,asmi_force_exceeded,asmi_result_path,asmi_run_dir
my_run_001,A1,10,1782156325.3291216,4.2079110146,15.39,18.39,0.83013916015625,-0.0016601562500000444,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,11,1782156325.7500834,4.6288728714,15.38,18.38,0.83636474609375,0.004565429687499956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,12,1782156326.1731002,5.051889658,15.37,18.37,0.83843994140625,0.006640624999999956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,13,1782156326.5950918,5.4738812447,15.36,18.36,0.83636474609375,0.004565429687499956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,14,1782156327.0160275,5.8948168755,15.35,18.35,0.83221435546875,0.0004150390624999556,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,15,1782156327.4370365,6.3158259392,15.34,18.34,0.83221435546875,0.0004150390624999556,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,16,1782156327.8580751,6.7368645668,15.33,18.33,0.83636474609375,0.004565429687499956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,17,1782156328.2790701,7.1578595638,15.32,18.32,0.84051513671875,0.008715820312499956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,18,1782156328.6990683,7.5778577328,15.31,18.31,0.82806396484375,-0.0037353515625000444,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,19,1782156329.1210191,7.9998085499,15.3,18.3,0.83843994140625,0.006640624999999956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,20,1782156329.543067,8.4218564034,15.29,18.29,0.83636474609375,0.004565429687499956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,21,1782156329.9650705,8.843859911,15.28,18.28,0.83843994140625,0.006640624999999956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,22,1782156330.3860586,9.2648479939,15.27,18.27,0.83843994140625,0.006640624999999956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,23,1782156330.806012,9.6848013401,15.26,18.26,0.83636474609375,0.004565429687499956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,24,1782156331.226023,10.1048123837,15.25,18.25,0.84259033203125,0.010791015624999956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,25,1782156331.6470654,10.525854826,15.24,18.24,0.84051513671875,0.008715820312499956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
my_run_001,A1,26,1782156332.06706,10.9458494186,15.23,18.23,0.83843994140625,0.006640624999999956,down,A1,pegda_a,100,150,A1,100,my_run_001:A1:fill,,,my_run_001:A1:sharc,true,11.0,1,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc/result.json,/home/sartorius-scale/polymer_indent_runs/my_run_001_A1_sharc,my_run_001:A1:asmi,true,0.83179931640625,0.0038884924883372126,true,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi/result.json,/home/asmi/polymer_indent_runs/my_run_001_A1_asmi
